"","ticker","open","high","low","close","volume","OPCL","pvCLCL","prevAdjClose","SPpvCLCL","sharesOut","PERMNO","SICCD","PERMCO","prevRawOpen","prevRawClose","prevAdjOpen"
"1","SPY",139.625,141.5,137.75,137.75,6227199,-0.01352,-0.016071,140,0.000956,27109,84398,"6726",46699,139.9375,140,139.94
"2","XLF",21.76563,22.79688,21.76563,22.65625,337800,0.040104,0.043916,21.7,0.000956,17000,86455,"6726",34957,21.875,21.70313,21.88
"3","XLB",26.79688,27.73438,26.78125,27.46875,1335000,0.024764,0.025671,26.78,0.000956,5250,86449,"6726",34957,26.01563,26.78125,26.03
"4","XLK",51.25,52.09375,49.625,50.125,1670000,-0.022196,-0.033153,51.84,0.000956,20000,86457,"6726",34957,51.75,51.84375,51.75
"5","XLV",29.3125,29.5625,29.15625,29.4375,50000,0.004255,0.003195,29.34,0.000956,2800,86451,"6726",34957,29.78125,29.34375,29.78
"6","XLI",27.92188,28.375,27.8125,28.29688,54000,0.013341,0.01343,27.92,0.000956,3150,86456,"6726",34957,28,27.92188,28
"7","XLU",27.25,27.25,26.9375,27.25,34500,0,-0.001717,27.3,0.000956,2400,86458,"6726",34957,27.21875,27.29688,27.22
"8","XLY",29.04688,29.40625,29,29.1875,135800,0.004829,0.01137,28.86,0.000956,4150,86453,"6726",34957,29.34375,28.85938,29.35
"9","XLP",22.65625,23,22.48438,22.92188,420800,0.011656,0.01875,22.5,0.000956,9850,86452,"6726",34957,22.26563,22.5,22.27
"10","XLE",26.75,27.84375,26.75,27.78125,133100,0.037827,0.038551,26.75,0.000956,9100,86454,"6726",34957,26.125,26.75,26.13
"11","AA",85.875,86.375,84.8125,84.875,4494699,-0.011713,-0.013081,86,0.000956,366407,24643,"3334",20060,82,86,82.09
"12","AAC",4.4375,4.5625,4.4375,4.5,158100,0.013986,0.014085,4.44,0.000956,39444,77297,"6153",11318,4.5,4.4375,4.5
"13","AAG",17.375,17.375,17.3125,17.3125,71000,-0.003604,-0.003597,17.37,0.000956,42372,75188,"3675",21651,17.3125,17.375,17.31
"14","AAIR",4.625,5.09375,4.625,4.9375,1059405,0.065383,0.039474,4.75,0.000956,65698,80670,"4510",13181,4.5,4.75,4.51
"15","AAM",0.8125,0.8125,0.75,0.75,226400,-0.080043,-0.076923,0.81,0.000956,31041,77162,"6163",11230,0.875,0.8125,0.88
"16","AAP",17.75,17.875,17.75,17.875,9200,0.007018,0.007042,17.75,0.000956,56442,80105,"7299",30091,17.75,17.75,17.75
"17","AAS",16,17.125,15.3125,16.8125,673800,0.049534,0.076,15.62,0.000956,48481,81540,"5122",13650,14.625,15.625,14.66
"18","AAT",11.9375,12,11.875,11.875,14900,-0.005249,-0.010417,12,0.000956,13707,78935,"6726",29746,11.875,12,11.88
"19","ABERF",6.0625,6.0625,6.0625,6.0625,610,0,-0.03,6.25,0.000956,38478,78701,"1040",26102,6.1875,6.25,6.19
"20","ABF",21.5625,24,21.5,23.8125,1092799,0.099255,0.107558,21.5,0.000956,48642,51721,"4513",20031,21.625,21.5,21.63
"21","ABK",50.125,51.6875,50.0625,50.8125,198700,0.013623,0.012453,50.19,0.000956,69920,76757,"6351",29052,49.5625,50.1875,49.57
"22","ABM",20.1875,20.375,20.0625,20.1875,63900,0,0.003106,20.12,0.000956,22341,47730,"7349",20068,20.25,20.125,20.25
"23","ABMD",35.25,36.125,35.25,36.0625,42300,0.022788,0.001736,36,0.000956,8653,75107,"3840",20018,34.125,36,34.17
"24","ABN",23.1875,23.375,23.125,23.3125,33300,0.005376,-0.007979,23.5,0.000956,16922,84766,"6099",31989,23.5,23.5,23.5
"25","ABP",12.25,12.375,11.9375,12,22300,-0.020619,-0.010309,12.12,0.000956,14744,56119,"2761",20069,12.25,12.125,12.25
"26","ABS",32.625,33.625,32.625,33,1285199,0.011429,0.019305,32.38,0.000956,423628,50032,"5411",20038,31.625,32.375,31.63
"27","ABT",34,35.25,33.8125,35.125,7846599,0.032553,0.034991,33.94,0.000956,1537311,20482,"2834",20017,33.5625,33.9375,33.56
"28","ABX",17.75,17.8125,17.5,17.75,1139299,0,0,17.75,0.000956,395562,71298,"1041",20065,17.5625,17.75,17.56
"29","ABY",13.4375,13.6875,13.375,13.5,169200,0.00464,-0.004608,13.56,0.000956,190569,10560,"2621",20019,12.25,13.5625,12.31
"30","AC",29.8125,30.25,29.75,30.25,117500,0.014568,0.016807,29.75,0.000956,171266,75278,"6722",20048,29.375,29.75,29.38
"31","ACEE",6.03125,6.1875,5.875,6,5700,-0.005195,-0.020408,6.12,0.000956,5074,63837,"3612",156,5.875,6.125,5.88
"32","ACF",16.5,16.875,16.3125,16.75,100900,0.015038,0.015152,16.5,0.000956,73570,75858,"6141",10372,16.5,16.5,16.5
"33","ACG",6.8125,7,6.8125,6.9375,158500,0.018182,0.018349,6.81,0.000956,58240,75105,"6723",20003,6.75,6.8125,6.75
"34","ACI",10.6875,10.75,10.375,10.625,4100,-0.005865,-0.017341,10.81,0.000956,38187,75326,"1221",20221,10.875,10.8125,10.88
"35","ACK",31.875,32.4375,31.5625,32.375,148500,0.015565,0.021696,31.69,0.000956,40062,19692,"2511",20215,32.125,31.6875,32.13
"36","ACL",15.25,16.1875,15.25,16.125,1075799,0.055791,0.057377,15.25,0.000956,194059,79057,"6331",29796,16.1875,15.25,16.22
"37","ACLNF",17.1875,17.625,17,17.25,8100,0.00363,-0.014286,17.5,0.000956,8833,86146,"4730",16183,16.25,17.5,16.29
"38","ACN",12.4375,12.5,12.375,12.5,25200,0.005013,0.005025,12.44,0.000956,26722,75469,"3845",8567,12.5625,12.4375,12.56
"39","ACO",15.5,15.5,15.25,15.4375,34900,-0.00404,-0.004032,15.5,0.000956,26796,11599,"1459",9425,15.25,15.5,15.25
"40","ACR",6.875,6.875,6.125,6.125,176500,-0.115513,-0.109091,6.88,0.000956,17138,84768,"8051",31966,6.5625,6.875,6.57
"41","ACRG",1.3125,1.5,1.3125,1.3125,87293,0,0,1.31,0.000956,10671,76276,"3820",5817,1.3125,1.3125,1.31
"42","ACS",44,44.25,42.1875,42.25,228600,-0.040585,-0.041135,44.06,0.000956,46043,80913,"7374",13331,42.875,44.0625,42.89
"43","ACTN",11.625,12.75,11.5,12.4375,556606,0.067558,0.036458,12,0.000956,16937,79069,"5090",12104,10.875,12,10.92
"44","ACV",24.4375,25.1875,24.25,25.1875,32600,0.030229,0.03866,24.25,0.000956,32957,42083,"2844",8127,21.25,21.25,24.25
"45","ACX",8.1875,8.1875,7.75,7.875,52000,-0.038915,-0.030769,8.12,0.000956,28523,78117,"3264",11838,8.4375,8.125,8.44
"46","ACXM",24.9375,25.5625,23.625,25.375,671896,0.017392,0.00995,25.13,0.000956,85927,20117,"7370",6702,24.5,25.125,24.51
"47","AD",22.1875,22.4375,22,22.125,55000,-0.002821,-0.005618,22.25,0.000956,20632,10657,"7331",8561,22.1875,22.25,22.19
"48","ADC",13.375,13.625,13.3125,13.5625,8400,0.013921,0.018779,13.31,0.000956,4365,80412,"6798",30378,13.5,13.3125,13.5
"49","ADECY",90.25,92,90.25,91.375,17657,0.012388,-0.022727,93.5,0.000956,497,81195,"7360",13507,94,93.5,94
"50","ADF",8.625,8.8125,8.5625,8.625,41600,0,0.014706,8.5,0.000956,22003,79765,"6726",29989,8.3125,8.5,8.31
"51","ADG",13,13,12.375,13,102800,0,-0.009524,13.13,0.000956,20084,85781,"4813",34645,13,13.125,13
"52","ADI",86.875,87.625,83.25,84.5,1300500,-0.027719,-0.027338,86.87,0.000956,174459,60871,"3612",282,85.625,86.875,85.63
"53","ADM",11.625,11.875,11.5625,11.75,816300,0.010695,0.005348,11.69,0.000956,608360,10516,"2045",20207,11.875,11.6875,11.88
"54","ADMS",27.8125,27.875,26.5625,26.625,7997,-0.043635,-0.013889,27,0.000956,8533,11483,"5190",9315,28.6875,27,28.74
"55","ADP",3.5625,3.5625,3.4375,3.4375,8500,-0.035718,0,3.44,0.000956,11847,26331,"3523",20050,3.625,3.4375,3.63
"56","ADPT",53.6875,55.625,53,53.625,917476,-0.001165,-0.014925,54.44,0.000956,102111,10353,"3570",8275,54.9375,54.4375,54.94
"57","ADV",17.1875,17.375,17.1875,17.1875,4900,0,0.011029,17,0.000956,8923,64514,"6211",420,16.9375,17,16.94
"58","ADX",32.5625,32.8125,32.5,32.75,45100,0.005742,0,32.75,0.000956,51877,10065,"6723",20023,32.75,32.75,32.75
"59","AEC",8.5625,8.8125,8.5625,8.75,55000,0.021661,0.021898,8.56,0.000956,21604,79893,"6798",30023,8.5,8.5625,8.5
"60","AED",17.0625,17.125,17.0625,17.125,33000,0.003656,0.007353,17,0.000956,3553,82631,"6022",31188,16.875,17,16.88
"61","AEE",33.5625,33.6875,33.25,33.4375,320400,-0.003731,-0.003724,33.56,0.000956,137215,24985,"4931",21808,32.3125,33.5625,32.34
"62","AEG",91.8125,91.8125,91.125,91.5,47500,-0.003409,-0.010811,92.5,0.000956,31623,85172,"6311",7622,93.625,92.5,93.63
"63","AEM",6.875,7.125,6.875,7.0625,69700,0.026907,0.018018,6.94,0.000956,55348,78223,"1041",26174,7.0625,6.9375,7.06
"64","AEOS",42.5,43.375,39.75,40.09375,1026621,-0.058284,-0.070963,43.16,0.000956,46658,80432,"5600",13001,40,43.15625,40.11
"65","AEP",32.75,33.6875,32.75,33.1875,433000,0.01327,0.005682,33,0.000956,194103,24109,"4911",20077,31.8125,33,31.83
"66","AER",8.6875,8.6875,8.625,8.625,3900,-0.00722,-0.028169,8.87,0.000956,8047,85410,"6798",32095,8.75,8.875,8.75
"67","AES",70.625,71.625,70,70.9375,854200,0.004415,0.007993,70.37,0.000956,206384,76712,"4911",10996,69.6875,70.375,69.69
"68","AET",54.25,54.6875,53.75,54.3125,2137199,0.001151,0.001152,54.25,0.000956,149674,46850,"6324",20026,54.5625,54.25,54.56
"69","AF",11.75,11.9375,11.75,11.875,26700,0.010582,0.005291,11.81,0.000956,9284,77059,"6726",29107,11.8125,11.8125,11.81
"70","AFC",50,51.75,49.625,51,243600,0.019803,0.02,50,0.000956,54256,82292,"6331",30958,52.0625,50,52.11
"71","AFF",10.625,10.625,10.5,10.5,9000,-0.011834,-0.005917,10.56,0.000956,14129,80205,"6726",30261,10.5,10.5625,10.5
"72","AFG",24.4375,25.0625,23.8125,24.75,104800,0.012707,0.025907,24.12,0.000956,58407,60687,"6331",21372,24.625,24.125,24.63
"73","AFL",43.125,44.4375,42.875,44.1875,506800,0.024339,0.020202,43.31,0.000956,266118,57904,"6321",92,43.625,43.3125,43.63
"74","AFM",75,75.6875,74.125,75,1250399,0,0,75,0.000956,209779,79163,"4832",12125,74.4375,75,74.44
"75","AFS",24.0625,25.6875,23.9375,24.75,4293699,0.028171,0.020619,24.25,0.000956,728245,83440,"6141",31626,24.625,24.25,24.63
"76","AG",12.75,13.6875,12.75,13.6875,962200,0.070952,0.073529,12.75,0.000956,59546,77520,"3523",11473,12.4375,12.75,12.44
"77","AGA",13.5625,14.6875,13.5625,14.25,23600,0.049448,0.065421,13.37,0.000956,14901,87150,"1429",35238,12.1875,13.375,12.24
"78","AGC",67.75,68.8125,67.375,68.5,562300,0.011009,0.007353,68,0.000956,247117,48397,"6311",20082,68.625,68,68.63
"79","AGE",30.125,31.875,30.125,31.125,423500,0.032656,0.035343,30.06,0.000956,92092,54391,"6211",20634,30.375,30.0625,30.38
"80","AGI",12.4375,12.9375,12.375,12.875,14300,0.034571,0.03,12.5,0.000956,14517,68814,"5065",162,12.4375,12.5,12.44
"81","AGL",10.625,10.75,10.5625,10.6875,16000,0.005865,0,10.69,0.000956,8676,45583,"2337",20199,10.25,10.6875,10.26
"82","AGM",17.75,18.5,17.75,18.5,66500,0.041385,0.038596,17.81,0.000956,9321,80169,"6159",28392,18.3125,17.8125,18.32
"83","AGN",48.9375,48.9375,47.5625,47.9375,555100,-0.020646,-0.017926,48.81,0.000956,135510,75646,"2834",22092,48.875,48.8125,48.88
"84","AGR",46.125,46.625,46.125,46.375,3100,0.005405,0,46.38,0.000956,10120,79211,"6036",29841,46.25,46.375,46.25
"85","AGS",17.125,19.6875,17.125,18.3125,344800,0.067045,0.069343,17.13,0.000956,28614,85626,"7372",32163,18.0625,17.125,18.09
"86","AGTX",8.8125,9.0625,8.625,8.625,33510,-0.021506,-0.014286,8.75,0.000956,22584,83349,"7330",14529,8.875,8.75,8.88
