"","ticker","open","high","low","close","volume","OPCL","pvCLCL","prevAdjClose","SPpvCLCL","sharesOut","PERMNO","SICCD","PERMCO","prevRawOpen","prevRawClose","prevAdjOpen"
"1","SPY",125.1,127,124.39,126.7,73388800,0.012709,0.017589,124.51,0.01643,471080,84398,"6726",46699,124.8,124.51,124.8
"2","IWM",67.21,68.15,66.05,68.05,40532000,0.012421,0.019934,66.72,0.01643,117350,88222,"6726",37493,66.76,66.72,66.76
"3","EEM",90.18,91.75,90,91.55,6980800,0.015078,0.037394,88.25,0.01643,115350,89730,"6726",37493,88.3,88.25,88.3
"4","TLT",91.59,92.25,91.48,91.78,1393800,0.002072,-0.001306,91.9,0.01643,9100,89468,"6726",37493,92.54,91.9,92.54
"5","GLD",52.29,53.18,52.23,53.12,4606500,0.015748,0.029856,51.58,0.01643,82000,90448,"6726",45874,51.19,51.58,51.19
"6","XLF",31.67,32.26,31.57,32.2,14394800,0.016597,0.016735,31.67,0.01643,57061,86455,"6726",34957,31.67,31.67,31.67
"7","XLB",30.11,31.01,30.11,30.92,5604600,0.026546,0.021136,30.28,0.01643,31459,86449,"6726",34957,30.42,30.28,30.42
"8","XLK",21,21.35,20.84,21.31,2708300,0.014654,0.019617,20.9,0.01643,73653,86457,"6726",34957,20.99,20.9,20.99
"9","XLV",31.78,32.19,31.67,32.11,1230000,0.01033,0.012295,31.72,0.01643,56353,86451,"6726",34957,31.85,31.72,31.85
"10","XLI",31.17,31.69,31.12,31.63,1256500,0.01465,0.006684,31.42,0.01643,28204,86456,"6726",34957,31.4,31.42,31.4
"11","XLU",31.59,32.08,31.28,32,3912200,0.012895,0.019433,31.39,0.01643,56028,86458,"6726",34957,31.35,31.39,31.35
"12","XLY",32.5,33.04,32.25,33,1695300,0.015267,0.01072,32.65,0.01643,12401,86453,"6726",34957,32.67,32.65,32.67
"13","XLP",23.31,23.47,23.18,23.44,1372800,0.005562,0.006441,23.29,0.01643,33703,86452,"6726",34957,23.38,23.29,23.38
"14","XLE",50.63,52.7,50.63,52.7,24191000,0.040071,0.047505,50.31,0.01643,49656,86454,"6726",34957,49.8,50.31,49.8
"15","AA",29.59,30,29.49,29.9,5783200,0.010422,0.01116,29.57,0.01643,870213,24643,"3334",20060,29.47,29.57,29.47
"16","AAA",55.4,55.79,55.4,55.79,1200,0.007015,0.024234,54.47,0.01643,773,89402,"2834",43153,54.26,54.47,54.26
"17","AAC",0.31,0.31,0.28,0.29,759500,-0.066691,-0.064516,0.31,0.01643,62407,88278,"7375",37657,0.3,0.31,0.3
"18","AAI",16.26,16.39,15.72,16.33,3393100,0.004296,0.018715,16.03,0.01643,87817,80670,"4512",13181,15.87,16.03,15.87
"19","AAP",43.47,43.85,43.3,43.52,1613400,0.00115,0.001381,43.46,0.01643,108177,89217,"5531",42402,42.55,43.46,42.56
"20","AAV",19.34,19.6,19.28,19.45,118400,0.005672,0.008817,19.28,0.01643,57337,91037,"6733",50012,19.06,19.28,19.06
"21","ABB",10.09,10.3699,10.04,10.19,4163200,0.009862,0.048354,9.72,0.01643,131016,88953,"8742",41444,9.68,9.72,9.68
"22","ABC",41.39,42.32,41.33,42.26,1969700,0.020802,0.020773,41.4,0.01643,208606,81540,"5122",13650,41.25,41.4,41.25
"23","ABD",24.4,24.5,24.16,24.25,363900,-0.006167,-0.010204,24.5,0.01643,52437,90825,"3579",47179,24.2,24.5,24.2
"24","ABER",37.68,37.68,36.73,36.74,7926,-0.025263,-0.002444,36.83,0.01643,57991,78701,"1040",26102,36.59,36.83,36.59
"25","ABG",16.11,16.52,15.85,16.33,88300,0.013564,-0.007898,16.46,0.01643,32826,89327,"5511",42915,16.24,16.46,16.24
"26","ABI",26.72,26.92,26.13,26.88,985300,0.00597,0.012048,26.56,0.01643,187915,27713,"3826",21387,26.7,26.56,26.7
"27","ABK",77.09,78.19,76.79,78.11,349200,0.013145,0.013626,77.06,0.01643,105188,76757,"6351",29052,77.25,77.06,77.25
"28","ABM",19.6,19.8,19.44,19.68,406400,0.004073,0.00665,19.55,0.01643,48767,47730,"7349",20068,19.55,19.55,19.55
"29","ABMD",9.24,9.44,9.12,9.35,67568,0.011834,0.011905,9.24,0.01643,26373,75107,"3840",20018,9.43,9.24,9.43
"30","ABN",26.75,27.22,26.56,27.2,771100,0.016682,0.040551,26.14,0.01643,60055,84766,"6029",31989,26,26.14,26
"31","ABP",5.24,5.56,5.24,5.55,429000,0.057476,0.051136,5.28,0.01643,42058,76888,"1311",10924,5.15,5.28,5.15
"32","ABR",26.08,26.44,25.65,26.42,106900,0.012953,0.01929,25.92,0.01643,17027,90102,"6798",45059,25.5,25.92,25.5
"33","ABS",22.24,22.24,21.46,21.7,5953000,-0.02458,0.016393,21.35,0.01643,368779,50032,"5411",20038,21.35,21.35,21.35
"34","ABT",39.55,39.95,39.19,39.55,8280500,0,0.003043,39.43,0.01643,1551228,20482,"2834",20017,39.47,39.43,39.47
"35","ABV",32.7,33.5,32.7,33.25,45000,0.01668,0.01682,32.7,0.01643,13372,85254,"2086",32018,32.71,32.7,32.71
"36","ABX",28.14,28.82,28.13,28.82,6649300,0.023878,0.034087,27.87,0.01643,537254,71298,"1041",20065,28.25,27.87,28.25
"37","ABY",4.09,4.11,3.97,3.97,448800,-0.029779,-0.017327,4.04,0.01643,440175,10560,"2621",20019,3.99,4.04,3.99
"38","AC",56.51,57.09,56.12,56.62,251200,0.001945,0.002301,56.49,0.01643,81689,75278,"6282",20048,56.15,56.49,56.15
"39","ACC",24.85,24.92,24.37,24.69,161800,-0.006459,-0.004435,24.8,0.01643,17190,90300,"6798",45464,24.55,24.8,24.55
"40","ACE",54.05,54.73,53.32,54.54,1214400,0.009025,0.020584,53.44,0.01643,322328,79057,"6331",29796,53.87,53.44,53.87
"41","ACEL",1.9,1.9,1.6,1.85,76947,-0.026668,-0.019608,1.89,0.01643,36666,11739,"8730",35,1.824,1.887,1.83
"42","ACF",25.87,26.05,25.43,25.85,1561600,-0.000773,0.008584,25.63,0.01643,136791,75858,"6141",10372,25.68,25.63,25.68
"43","ACG",8.28,8.3,8.26,8.3,271700,0.002413,0.002416,8.28,0.01643,227074,75105,"6726",20003,8.26,8.28,8.26
"44","ACH",78,79.9,77.7001,79.4,61200,0.01779,0.040084,76.34,0.01643,3528,89246,"2819",42511,76.45,76.34,76.45
"45","ACI",80.5,84.75,80.4501,84.13,2762300,0.044106,0.058239,79.5,0.01643,64689,75326,"1221",20221,78.87,79.5,78.87
"46","ACL",130.75,134.7,130.64999,134.17,855500,0.025821,0.035262,129.6,0.01643,306788,89350,"2834",42936,129,129.60001,129
"47","ACN",28.84,29.5,28.82,29.3,3843400,0.015824,0.014894,28.87,0.01643,607732,89071,"7379",41871,28.71,28.87,28.71
"48","ACO",20.72,21.25,20.28,21.05,122800,0.015801,0.025828,20.52,0.01643,29768,11599,"1459",9425,20.72,20.52,20.72
"49","ACP",38.54,38.55,37.75,38.0327,8600,-0.01325,-0.013419,38.55,0.01643,61857,75113,"6512",20097,37.25,38.55,37.27
"50","ACR",25.1,25.23,24.875,25.01,187000,-0.003592,-0.004775,25.13,0.01643,31568,84768,"8361",31966,25.2,25.13,25.2
"51","ACS",61,62.2,60.84,61.13,3159400,0.002129,0.03295,59.18,0.01643,117685,80913,"7374",13331,59.02,59.18,59.02
"52","ACV",46,46.39,45.53,46.2,310500,0.004338,0.009836,45.75,0.01643,92071,42083,"5999",8127,46.17,45.75,46.17
"53","ACW",13,13.17,12.95,12.98,72400,-0.00154,0.006202,12.9,0.01643,33766,90643,"3714",46538,12.86,12.9,12.86
"54","ACXM",22.96,23.62,22.75,23.49,616538,0.022821,0.021304,23,0.01643,86720,20117,"7370",6702,22.85,23,22.85
"55","AD",28.43,29.08,27.95,28.86,369300,0.015012,0.024131,28.18,0.01643,31461,10657,"7331",8561,28.45,28.18,28.45
"56","ADC",29.15,29.96,28.85,29.96,38300,0.027408,0.036678,28.9,0.01643,7672,80412,"6798",30378,29.27,28.9,29.27
"57","ADF",7.35,7.41,7.34,7.36,25100,0.00136,-0.009421,7.43,0.01643,22450,79765,"6726",29989,7.39,7.43,7.39
"58","ADG",22.8,22.8,22.4,22.44,26900,-0.015915,-0.014493,22.77,0.01643,5842,11923,"3483",6968,22.7,22.77,22.7
"59","ADI",36.13,36.78,35.34,36.7,3575900,0.015653,0.023139,35.87,0.01643,366832,60871,"3674",282,35.97,35.87,35.97
"60","ADM",24.75,24.75,24.05,24.38,4270600,-0.015062,-0.011354,24.66,0.01643,653179,10516,"2075",20207,25,24.66,25
"61","ADO",11.95,12.14,11.91,12.08,60900,0.01082,0.046794,11.54,0.01643,7523,81195,"7363",13507,11.51,11.54,11.51
"62","ADP",46.7,46.7,45.81,46.33,1919100,-0.007954,0.009368,45.9,0.01643,576600,44644,"7374",20235,46.11,45.9,46.11
"63","ADPT",5.78,5.78,5.6,5.73,2126826,-0.008688,-0.015464,5.82,0.01643,114036,10353,"3570",8275,5.75,5.82,5.75
"64","ADS",36.1,37.28,35.98,36.96,1115200,0.023543,0.038202,35.6,0.01643,82036,89002,"7374",41671,35.55,35.6,35.55
"65","ADX",12.61,12.75,12.55,12.73,186200,0.009471,0.014343,12.55,0.01643,84090,10065,"6726",20023,12.61,12.55,12.61
"66","AEA",12.41,12.52,12.33,12.49,212200,0.006426,0.007258,12.4,0.01643,82244,90493,"6141",46013,12.45,12.4,12.45
"67","AEC",9,9.19,8.96,9.16,31600,0.017622,0.013274,9.04,0.01643,18608,79893,"6798",30023,8.91,9.04,8.91
"68","AEE",51.7,51.96,51.23,51.86,900500,0.00309,0.0121,51.24,0.01643,204274,24985,"4931",21808,51.58,51.24,51.58
"69","AEG",16.57,16.8,16.46,16.78,1205800,0.012594,0.028186,16.32,0.01643,237771,85172,"6311",7622,16.28,16.32,16.28
